PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
34674414,Metagenomic next-generation sequencing (mNGS) confirmed a critical case of severe fever with thrombocytopenia syndrome virus (SFTSV),"Zhu T, Cai QQ, Yu J, Liang XS.",Clin Chem Lab Med. 2021 Oct 22;60(2):e42-e45. doi: 10.1515/cclm-2021-0791. Print 2022 Jan 27.,Zhu T,Clin Chem Lab Med,2021,2021/10/21,,,10.1515/cclm-2021-0791
38637353,Metagenomic Next-Generation Sequencing Contributes to the Early Diagnosis of Mixed Infections in Central Nervous System,"Lin L, Fang J, Li J, Tang Y, Xin T, Ouyang N, Cai W, Xie L, Lu S, Zhang J.",Mycopathologia. 2024 Apr 18;189(3):34. doi: 10.1007/s11046-024-00837-2.,Lin L,Mycopathologia,2024,2024/4/18,,,10.1007/s11046-024-00837-2
36452947,Nontuberculous mycobacteria by metagenomic next-generation sequencing: Three cases reports and literature review,"Liu Y, Ma X, Chen J, Wang H, Yu Z.",Front Public Health. 2022 Nov 14;10:972280. doi: 10.3389/fpubh.2022.972280. eCollection 2022.,Liu Y,Front Public Health,2022,2022/12/1,PMC9702513,,10.3389/fpubh.2022.972280
39994640,Metagenomic next-generation sequencing for etiological diagnosis of an unexpected rabies case with unclear exposure history,"Wu J, Qi Y, Zhang W, Liu L, Chen J, Yang Y, Zhang X, Liu X, Shi Y.",BMC Infect Dis. 2025 Feb 24;25(1):258. doi: 10.1186/s12879-025-10687-y.,Wu J,BMC Infect Dis,2025,2025/2/24,PMC11849319,,10.1186/s12879-025-10687-y
35473493,The clinical application of metagenomic next-generation sequencing for detecting pathogens in bronchoalveolar lavage fluid: case reports and literature review,"Tsang HF, Yu ACS, Jin N, Yim AKY, Leung WMS, Lam KW, Cho WCS, Chiou J, Wong SCC.",Expert Rev Mol Diagn. 2022 May;22(5):575-582. doi: 10.1080/14737159.2022.2071607. Epub 2022 May 2.,Tsang HF,Expert Rev Mol Diagn,2022,2022/4/27,,,10.1080/14737159.2022.2071607
37992864,Streptococcus suis meningoencephalitis diagnosed with metagenomic next-generation sequencing: A case report with literature review,"Jiang ZJ, Hong JC, Tang QX, Lin BW, Zhang WQ, Xia H, Yao XP.",J Infect Chemother. 2024 Jun;30(6):544-547. doi: 10.1016/j.jiac.2023.11.017. Epub 2023 Nov 21.,Jiang ZJ,J Infect Chemother,2024,2023/11/22,,,10.1016/j.jiac.2023.11.017
37661684,Clinical application of metagenomic next-generation sequencing in purulent meningitis: a case seri,"Ding M, Yang C, Li Y.",Turk J Pediatr. 2023;65(4):679-686. doi: 10.24953/turkjped.2022.691.,Ding M,Turk J Pediatr,2023,2023/9/4,,,10.24953/turkjped.2022.691
37584000,Metagenomic next-generation sequencing in the diagnosis of neurocysticercosis: A case report,"Xu WB, Fu JJ, Yuan XJ, Xian QJ, Zhang LJ, Song PP, You ZQ, Wang CT, Zhao QG, Pang F.",World J Clin Cases. 2023 Jul 16;11(20):4912-4919. doi: 10.12998/wjcc.v11.i20.4912.,Xu WB,World J Clin Cases,2023,2023/8/16,PMC10424049,,10.12998/wjcc.v11.i20.4912
39656346,Case report: diagnosis of neurobrucellosis in a non-endemic area child using metagenomic next-generation sequencing,"Wu H, Wang Y, Yang X, Lu T, Luo Y.",Eur J Clin Microbiol Infect Dis. 2025 Feb;44(2):443-447. doi: 10.1007/s10096-024-05011-6. Epub 2024 Dec 10.,Wu H,Eur J Clin Microbiol Infect Dis,2025,2024/12/10,,,10.1007/s10096-024-05011-6
36818630,Metagenomic next-generation sequencing for pleural effusions induced by viral pleurisy: A case report,"Liu XP, Mao CX, Wang GS, Zhang MZ.",World J Clin Cases. 2023 Feb 6;11(4):844-851. doi: 10.12998/wjcc.v11.i4.844.,Liu XP,World J Clin Cases,2023,2023/2/23,PMC9928708,,10.12998/wjcc.v11.i4.844
37309378,A Case Report of Cutaneous Anthrax Diagnosed by Using a Metagenomic Next-Generation Sequencing (mNGS) Approach,"Liu Y, Zheng G, Li J, Yang N, Li J, Liu Z, Han Q, Zhao Y, Du F, He Y, Yan T.",Infect Drug Resist. 2023 Jun 7;16:3601-3606. doi: 10.2147/IDR.S411717. eCollection 2023.,Liu Y,Infect Drug Resist,2023,2023/6/13,PMC10257910,,10.2147/IDR.S411717
34876042,Metagenomic next-generation sequencing in the diagnosis of leptospirosis presenting as severe diffuse alveolar hemorrhage: a case report and literature review,"Chen M, Lu W, Wu S, Wang S, Lu T, Peng C.",BMC Infect Dis. 2021 Dec 7;21(1):1230. doi: 10.1186/s12879-021-06923-w.,Chen M,BMC Infect Dis,2021,2021/12/8,PMC8650322,,10.1186/s12879-021-06923-w
36531828,Metagenomic Next-Generation Sequencing (mNGS) for the Timely Diagnosis of Carbapenem-Resistant Klebsiella pneumoniae in Leukemia Patients,"Tao H, Hua F, Chen Y, Jia Y.",Case Rep Infect Dis. 2022 Dec 8;2022:6957028. doi: 10.1155/2022/6957028. eCollection 2022.,Tao H,Case Rep Infect Dis,2022,2022/12/19,PMC9754844,,10.1155/2022/6957028
36609227,Spinal infection caused by Coxiella burnetii,"Yang S, Xue B, Hu X, Zhou W, Zhang M, Zhao M.",BMC Infect Dis. 2023 Jan 6;23(1):6. doi: 10.1186/s12879-022-07938-7.,Yang S,BMC Infect Dis,2023,2023/1/7,PMC9817394,,10.1186/s12879-022-07938-7
36060643,Metagenomic next-generation sequencing in diagnosing Pneumocystis jirovecii pneumonia: A case report,"Zhang Y, Zeng Z, Li F, Peng Z, Xia H, Zeng Y, Chen H, Wang Y, Xie W, Zhang Y, Tang Z.",Open Life Sci. 2022 Aug 17;17(1):938-943. doi: 10.1515/biol-2022-0094. eCollection 2022.,Zhang Y,Open Life Sci,2022,2022/9/5,PMC9386609,,10.1515/biol-2022-0094
38865398,Acute Q fever pneumonia diagnosed by metagenomic next-generation sequencing,"Liu B, Huang P, Liang Y, Liu S, Chen F, Luo X, Xu T, Xie B.",J Infect Dev Ctries. 2024 May 30;18(5):834-838. doi: 10.3855/jidc.18314.,Liu B,J Infect Dev Ctries,2024,2024/6/12,,,10.3855/jidc.18314
36478673,Metagenomic next-generation sequencing clinches the diagnosis of Legionella pneumonia in a patient with acute myeloid leukemia: A case report and literature review,"Niu S, Zhao L.",Front Cell Infect Microbiol. 2022 Nov 21;12:924597. doi: 10.3389/fcimb.2022.924597. eCollection 2022.,Niu S,Front Cell Infect Microbiol,2022,2022/12/8,PMC9720252,,10.3389/fcimb.2022.924597
35731183,"Anncaliia algerae Microsporidiosis Diagnosed by Metagenomic Next-Generation Sequencing, China","Liu C, Chen Q, Fu P, Shi YY.",Emerg Infect Dis. 2022 Jul;28(7):1466-1470. doi: 10.3201/eid2807.212315.,Liu C,Emerg Infect Dis,2022,2022/6/22,PMC9239868,,10.3201/eid2807.212315
35463003,Strongyloidiasis in a Patient Diagnosed by Metagenomic Next-Generation Sequencing: A Case Report,"Qu J, Zong Z.",Front Med (Lausanne). 2022 Apr 7;9:835252. doi: 10.3389/fmed.2022.835252. eCollection 2022.,Qu J,Front Med (Lausanne),2022,2022/4/25,PMC9022660,,10.3389/fmed.2022.835252
36189365,Metagenomic next-generation sequencing may assist diagnosis of cat-scratch disease,"Li M, Yan K, Jia P, Wei E, Wang H.",Front Cell Infect Microbiol. 2022 Sep 16;12:946849. doi: 10.3389/fcimb.2022.946849. eCollection 2022.,Li M,Front Cell Infect Microbiol,2022,2022/10/3,PMC9524480,,10.3389/fcimb.2022.946849
35801947,Mycoplasma hominis Meningitis Diagnosed by Metagenomic Next-Generation Sequencing in a Preterm Newborn: a Case Report and Literature Review,"Che G, Liu F, Chang L, Lai S, Teng J, Yang Q.",Lab Med. 2023 Jan 5;54(1):e24-e28. doi: 10.1093/labmed/lmac078.,Che G,Lab Med,2023,2022/7/8,,,10.1093/labmed/lmac078
35346137,Diagnosis of lung squamous cell carcinoma based on metagenomic Next-Generation Sequencing,"Wei P, Gao Y, Zhang J, Lin J, Liu H, Chen K, Lin W, Wang X, Wang C, Liu C.",BMC Pulm Med. 2022 Mar 27;22(1):108. doi: 10.1186/s12890-022-01894-3.,Wei P,BMC Pulm Med,2022,2022/3/29,PMC8958490,,10.1186/s12890-022-01894-3
36592686,Spirometra mansoni sparganosis identified by metagenomic next-generation sequencing: a case report,"Hu D, Jin W, Ding H, Pang Y, Ma S, Yang M, Wu S, Jiang M, Pang L, Luo S, Ning Q.",Int J Infect Dis. 2023 Mar;128:128-131. doi: 10.1016/j.ijid.2022.12.038. Epub 2022 Dec 30.,Hu D,Int J Infect Dis,2023,2023/1/2,,,10.1016/j.ijid.2022.12.038
33639095,Metagenomic next-generation sequencing (mNGS) for diagnostically challenging infectious diseases in patients with acute leukemia,"Garnica M, Pierrotti LC, Oliveira PV, Mazzi M, Chebabo A.",Braz J Infect Dis. 2021 Mar-Apr;25(2):101548. doi: 10.1016/j.bjid.2021.101548. Epub 2021 Feb 25.,Garnica M,Braz J Infect Dis,2021,2021/2/27,PMC9392121,,10.1016/j.bjid.2021.101548
38377081,Metagenomic Next-Generation Sequencing (mNGS) of cerebrospinal fluid for diagnosis of human herpesvirus 6B encephalitis following transplantation for severe aplastic anemia,"Zhang K, Xu J, Chen G, Yang R, Jiang M, Yuan H.",J Infect Dev Ctries. 2024 Jan 31;18(1):152-157. doi: 10.3855/jidc.18152.,Zhang K,J Infect Dev Ctries,2024,2024/2/20,,,10.3855/jidc.18152
34425764,Metagenomic next-generation sequencing for the early diagnosis of talaromycosis in HIV-uninfected patients: five cases report,"Chen Q, Qiu Y, Zeng W, Wei X, Zhang J.",BMC Infect Dis. 2021 Aug 23;21(1):865. doi: 10.1186/s12879-021-06551-4.,Chen Q,BMC Infect Dis,2021,2021/8/24,PMC8383368,,10.1186/s12879-021-06551-4
38382768,Metagenomic next-generation sequencing for diagnosis of fatal Balamuthia amoebic encephalitis,"Qin L, Xiang Y, Wu Z, Zhang H, Wu X, Chen Q.",Infect Genet Evol. 2024 Apr;119:105570. doi: 10.1016/j.meegid.2024.105570. Epub 2024 Feb 19.,Qin L,Infect Genet Evol,2024,2024/2/21,,,10.1016/j.meegid.2024.105570
34322503,Case Report: Metagenomic Next-Generation Sequencing in Diagnosis of Disseminated Tuberculosis of an Immunocompetent Patient,"Ye Y, Yang N, Zhou J, Qian G, Chu J.",Front Med (Lausanne). 2021 Jul 12;8:687984. doi: 10.3389/fmed.2021.687984. eCollection 2021.,Ye Y,Front Med (Lausanne),2021,2021/7/29,PMC8310911,,10.3389/fmed.2021.687984
38046412,Metagenomic next-generation sequencing to investigate infectious keratitis by Corynespora cassiicola: a case report,"Xu S, Lu S, Gu Y, Sun H, Ma M, Leng Y, Liu W.",Front Med (Lausanne). 2023 Nov 17;10:1285753. doi: 10.3389/fmed.2023.1285753. eCollection 2023.,Xu S,Front Med (Lausanne),2023,2023/12/4,PMC10690767,,10.3389/fmed.2023.1285753
39100652,Case Report: Taking action or standing by: managing a preterm neonate at the risk of neonatal varicella by metagenomic next-generation sequencing,"Li H, Chen X, Li J, Chen L, Liu X, Chen C, Xie D, Chen Y, Yuan J, Tao E.",Front Pediatr. 2024 Jul 19;12:1345338. doi: 10.3389/fped.2024.1345338. eCollection 2024.,Li H,Front Pediatr,2024,2024/8/5,PMC11294073,,10.3389/fped.2024.1345338
40367670,Metagenomic next-generation sequencing (mNGS) identified Clostridium perfringens infection presenting as acute hemolysis after surgery,"Yu S, Cao T, Xu Z, Zhou H, Li Q.",J Infect Public Health. 2025 Aug;18(8):102798. doi: 10.1016/j.jiph.2025.102798. Epub 2025 Apr 28.,Yu S,J Infect Public Health,2025,2025/5/14,,,10.1016/j.jiph.2025.102798
38293370,Utility of metagenomic Next-Generation Sequencing for simultaneously detecting pathogens and neoplasms,"Qin F, Hu X, Wang X, Liu W, Deng Q, Zhao Y, Li C, Liu C, Huang Z, Gu B.",Heliyon. 2024 Jan 10;10(2):e24399. doi: 10.1016/j.heliyon.2024.e24399. eCollection 2024 Jan 30.,Qin F,Heliyon,2024,2024/1/31,PMC10826719,,10.1016/j.heliyon.2024.e24399
36434704,Metagenomic next-generation sequencing contributes to the diagnosis of mixed pulmonary infection: a case report,"Qin Z, Zou Y, Huang Z, Yu N, Deng Z, Chen Z, Wang Y.",Ann Clin Microbiol Antimicrob. 2022 Nov 24;21(1):52. doi: 10.1186/s12941-022-00545-z.,Qin Z,Ann Clin Microbiol Antimicrob,2022,2022/11/26,PMC9701064,,10.1186/s12941-022-00545-z
34430631,Diagnosing scrub typhus without eschar: a case report using metagenomic next-generation sequencing (mNGS),"Li J, Chen C, Zou F, Liu L, Wang B, Kang H, Liu B, Wang S, Qin T.",Ann Transl Med. 2021 Jul;9(14):1190. doi: 10.21037/atm-21-3015.,Li J,Ann Transl Med,2021,2021/8/25,PMC8350650,,10.21037/atm-21-3015
37680745,Case Report: Mycobacterium kansasii causing infective endocarditis explored by metagenomic next-generation sequencing,"Yang L, Peng L, Yuan K, Cai K, Feng C, Yang G, Wang S, Zhu X, Zhang J, Wang F, Lu H.",Front Cell Infect Microbiol. 2023 Aug 22;13:1227537. doi: 10.3389/fcimb.2023.1227537. eCollection 2023.,Yang L,Front Cell Infect Microbiol,2023,2023/9/8,PMC10482420,,10.3389/fcimb.2023.1227537
34668543,Diagnostic Value of Metagenomic Next Generation Sequencing for Ureaplasma urealyticum Infection: A Case Report,"Ruan X, Li M, Qin X.",Lab Med. 2022 Jul 4;53(4):e74-e76. doi: 10.1093/labmed/lmab091.,Ruan X,Lab Med,2022,2021/10/20,,,10.1093/labmed/lmab091
35096860,Case Report: Metagenomic Next-Generation Sequencing for Diagnosis of Human Encephalitis and Endophthalmitis Caused by Pseudorabies Virus,"Yan W, Hu Z, Zhang Y, Wu X, Zhang H.",Front Med (Lausanne). 2022 Jan 14;8:753988. doi: 10.3389/fmed.2021.753988. eCollection 2021.,Yan W,Front Med (Lausanne),2022,2022/1/31,PMC8795075,,10.3389/fmed.2021.753988
33855039,Case Report: Metagenomic Next-Generation Sequencing in Diagnosis of Talaromycosis of an Immunocompetent Patient,"Shi J, Yang N, Qian G.",Front Med (Lausanne). 2021 Mar 29;8:656194. doi: 10.3389/fmed.2021.656194. eCollection 2021.,Shi J,Front Med (Lausanne),2021,2021/4/15,PMC8039304,,10.3389/fmed.2021.656194
36619745,Case report: Diagnosis of visceral leishmaniasis using metagenomic next-generation sequencing and bone marrow smear,"Zhang X, Liu Y, Zhang M, Wang Z, Feng X, Yang L, Wang Y, Liu J, Zhao D.",Front Cell Infect Microbiol. 2022 Dec 23;12:1095072. doi: 10.3389/fcimb.2022.1095072. eCollection 2022.,Zhang X,Front Cell Infect Microbiol,2022,2023/1/9,PMC9816402,,10.3389/fcimb.2022.1095072
39109822,Meta-genomic next-generation sequencing in the diagnosis of brucellosis: Five cases from a non-endemic area,"Zhang X, Yao X, Chen H, Han D, Yang M.",Future Microbiol. 2024 Sep;19(13):1111-1117. doi: 10.1080/17460913.2024.2363632. Epub 2024 Aug 7.,Zhang X,Future Microbiol,2024,2024/8/7,PMC11529194,,10.1080/17460913.2024.2363632
35736664,Detection of Bartonella vinsonii subsp. berkhoffii in an HIV patient using metagenomic Next-Generation Sequencing,"Shi Y, Yang J, Qi Y, Xu J, Shi Y, Shi T, Liu C, Ma X.",Emerg Microbes Infect. 2022 Dec;11(1):1764-1767. doi: 10.1080/22221751.2022.2094287.,Shi Y,Emerg Microbes Infect,2022,2022/6/23,PMC9295814,,10.1080/22221751.2022.2094287
37250842,Diagnosis of primary amoebic meningoencephalitis by metagenomic next-generation sequencing: A case report,"Che X, He Z, Tung TH, Xia H, Lu Z.",Open Life Sci. 2023 May 23;18(1):20220579. doi: 10.1515/biol-2022-0579. eCollection 2023.,Che X,Open Life Sci,2023,2023/5/30,PMC10224627,,10.1515/biol-2022-0579
35372474,Case Report: Diagnosis of Primary Klebsiella pneumoniae in Cervical Spine by Metagenomic Next-Generation Sequencing,"Li T, Gao Q, Guo C, Li Y.",Front Surg. 2022 Mar 15;9:800396. doi: 10.3389/fsurg.2022.800396. eCollection 2022.,Li T,Front Surg,2022,2022/4/4,PMC8964782,,10.3389/fsurg.2022.800396
34962473,Metagenomic Next-Generation Sequencing in the Diagnosis of Deep Sternal Wound Infection After Cardiac Transplantation: A Case Report and Literature Review,"Yu J, Wu R, Xiong B, Huang Z, Li H.",Heart Surg Forum. 2021 Dec 14;24(6):E1015-E1017. doi: 10.1532/hsf.4169.,Yu J,Heart Surg Forum,2021,2021/12/28,,,10.1532/hsf.4169
35983300,Diagnosis of Mycoplasma hominis Meningitis with Metagenomic Next-Generation Sequencing: A Case Report,"Dong Y, He Y, Zhou X, Lv X, Huang J, Li Y, Qian X, Hu F, Zhu J.",Infect Drug Resist. 2022 Aug 12;15:4479-4486. doi: 10.2147/IDR.S371771. eCollection 2022.,Dong Y,Infect Drug Resist,2022,2022/8/19,PMC9380824,,10.2147/IDR.S371771
39960952,Diagnosis of early neurobrucellosis using metagenomic next-generation sequencing of the cerebrospinal fluid in nonepidemic zone: Case report and lecture review,"Liu H, Li Q, Ouyang X, Li Q, Min Y, Dai L.",Medicine (Baltimore). 2025 Feb 14;104(7):e41481. doi: 10.1097/MD.0000000000041481.,Liu H,Medicine (Baltimore),2025,2025/2/17,PMC11835056,,10.1097/MD.0000000000041481
39260018,A case of Bartonella vinsonii endocarditis,"Chen M, Chen Y, He X, Hao R, Jiang X, Ji Y, Zhuo B, Xu W, Lin R, Ge Y.",Diagn Microbiol Infect Dis. 2024 Dec;110(4):116535. doi: 10.1016/j.diagmicrobio.2024.116535. Epub 2024 Sep 7.,Chen M,Diagn Microbiol Infect Dis,2024,2024/9/11,,,10.1016/j.diagmicrobio.2024.116535
31648003,Metagenomic next-generation sequencing helped diagnose scrub typhus without eschar: A case report,"Wu J, Wu Y, Huang M.",Int J Infect Dis. 2020 Jan;90:1-4. doi: 10.1016/j.ijid.2019.10.020. Epub 2019 Oct 21.,Wu J,Int J Infect Dis,2020,2019/10/25,,,10.1016/j.ijid.2019.10.020
36647091,Spherical pneumonia caused by Ralstonia mannitolilytica: a case report and literature review,"Ma J, Zhang C, Dang K, Liao Y, Feng X, Zhou P.",BMC Pulm Med. 2023 Jan 16;23(1):20. doi: 10.1186/s12890-023-02316-8.,Ma J,BMC Pulm Med,2023,2023/1/16,PMC9841942,,10.1186/s12890-023-02316-8
36777162,Case report:Multiple abscesses caused by Porphyromonas gingivalis diagnosed by metagenomic next-generation sequencing,"Zhang Y, Zhu Y, Wan H.",Front Med (Lausanne). 2023 Jan 26;9:1089863. doi: 10.3389/fmed.2022.1089863. eCollection 2022.,Zhang Y,Front Med (Lausanne),2023,2023/2/13,PMC9910333,,10.3389/fmed.2022.1089863
35223608,Metagenomic Next-Generation Sequencing for the Diagnosis of Epstein-Barr Virus Pleurisy: A Case Report,"Lv H, Liu J, Zhang R.",Iran J Public Health. 2021 Nov;50(11):2326-2331. doi: 10.18502/ijph.v50i11.7589.,Lv H,Iran J Public Health,2021,2022/2/28,PMC8826336,,10.18502/ijph.v50i11.7589
38761614,"The first diagnosis of Severe Fever with Thrombocytopenia Syndrome caused by tick-borne Severe Fever with Thrombocytopenia Syndrome virus in Chongqing, China: A case report and literature review","Hu X, Wu W, Zhi S, Xu W, Zhang Y, Li L, Tao Y, Duan G, Liao C, Wang L, Li L, Li Z, Li W.",Diagn Microbiol Infect Dis. 2024 Aug;109(4):116350. doi: 10.1016/j.diagmicrobio.2024.116350. Epub 2024 May 10.,Hu X,Diagn Microbiol Infect Dis,2024,2024/5/18,,,10.1016/j.diagmicrobio.2024.116350
36001207,Metagenomic next-generation sequencing restores the diagnosis of a rare infectious complication of B cell depletion,"Garzaro M, Zhao LP, De Castro N, Mercier-Delarue S, Camelena F, Pereyre S, Gardette M, Ber?ot B, Malphettes M, B¨¦b¨¦ar C, Bouaziz JD, Le Goff J, Galicier L, Salmona M.",Eur J Clin Microbiol Infect Dis. 2022 Oct;41(10):1269-1273. doi: 10.1007/s10096-022-04484-7. Epub 2022 Aug 24.,Garzaro M,Eur J Clin Microbiol Infect Dis,2022,2022/8/24,,,10.1007/s10096-022-04484-7
35983296,Case Report and Literature Review: Disseminated Histoplasmosis Infection Diagnosed by Metagenomic Next-Generation Sequencing,"Wang N, Zhao C, Tang C, Wang L.",Infect Drug Resist. 2022 Aug 12;15:4507-4514. doi: 10.2147/IDR.S371740. eCollection 2022.,Wang N,Infect Drug Resist,2022,2022/8/19,PMC9380729,,10.2147/IDR.S371740
32957922,The metagenomic next-generation sequencing in diagnosing central nervous system angiostrongyliasis: a case report,"Feng L, Zhang A, Que J, Zhou H, Wang H, Guan Y, Shen C, Sun X, Lai R, Peng F, Feng H, Chen L.",BMC Infect Dis. 2020 Sep 21;20(1):691. doi: 10.1186/s12879-020-05410-y.,Feng L,BMC Infect Dis,2020,2020/9/22,PMC7507257,,10.1186/s12879-020-05410-y
31921744,Culture-Negative Streptococcus suis Infection Diagnosed by Metagenomic Next-Generation Sequencing,"Dai Y, Chen L, Chang W, Lu H, Cui P, Ma X.",Front Public Health. 2019 Dec 17;7:379. doi: 10.3389/fpubh.2019.00379. eCollection 2019.,Dai Y,Front Public Health,2019,2020/1/11,PMC6928000,,10.3389/fpubh.2019.00379
36396946,Rapid diagnosis of a complex oral mucosal infection using metagenomic next-generation sequencing: a case report,"Song Y, Song F, Liu S, Chen S, Song Z.",J Int Med Res. 2022 Nov;50(11):3000605221136679. doi: 10.1177/03000605221136679.,Song Y,J Int Med Res,2022,2022/11/18,PMC9679348,,10.1177/03000605221136679
34901089,Case Report: Fascioliasis Hepatica Precisely Diagnosed by Metagenomic Next-Generation Sequencing and Treated With Albendazole,"Zhang Y, Xu H, Liu Y, Kang J, Chen H, Wang Z, Cai D.",Front Med (Lausanne). 2021 Nov 24;8:773145. doi: 10.3389/fmed.2021.773145. eCollection 2021.,Zhang Y,Front Med (Lausanne),2021,2021/12/13,PMC8651557,,10.3389/fmed.2021.773145
36091563,Disseminated alveolar echinococcosis in a patient diagnosed by metagenomic next-generation sequencing: A case report,"Qu J, Xu H, Lv X.",Front Public Health. 2022 Aug 25;10:972619. doi: 10.3389/fpubh.2022.972619. eCollection 2022.,Qu J,Front Public Health,2022,2022/9/12,PMC9454002,,10.3389/fpubh.2022.972619
38287977,A case report of diagnosis of cat-scratch disease using metagenomic next-generation sequencing,"Zhou T, Zheng Y, Zhang H, Liu Y.",Front Cell Infect Microbiol. 2024 Jan 15;13:1322651. doi: 10.3389/fcimb.2023.1322651. eCollection 2023.,Zhou T,Front Cell Infect Microbiol,2024,2024/1/30,PMC10822884,,10.3389/fcimb.2023.1322651
31821204,Metagenomic Next-Generation Sequencing Technique Helps Identify Cryptococcal Infection in the Rib: A Report of 2 Cases and Review of the Literature,"Zhang C, Wang C, Chen F, Huang Z, Fang X, Li W, Yang B, Zhang W.",JBJS Case Connect. 2019 Dec;9(4):e0367. doi: 10.2106/JBJS.CC.19.00367.,Zhang C,JBJS Case Connect,2019,2019/12/11,,,10.2106/JBJS.CC.19.00367
40963618,Human cytomegalovirus infection-induced lymphocytosis diagnosed by metagenomic next-generation sequencing: a case report and literature review,"Zhang S, Sun L, Wang L, Liu Y, Tan G, Liu T, Yang W, Liu X.",Front Immunol. 2025 Sep 2;16:1637085. doi: 10.3389/fimmu.2025.1637085. eCollection 2025.,Zhang S,Front Immunol,2025,2025/9/18,PMC12436449,,10.3389/fimmu.2025.1637085
35875605,Diagnosis of severe Chlamydia psittaci pneumonia by metagenomic next-generation sequencing: 2 case reports,"Luo C, Lin Y, Chen C, Liu Y, Sun X.",Respir Med Case Rep. 2022 Jul 18;38:101709. doi: 10.1016/j.rmcr.2022.101709. eCollection 2022.,Luo C,Respir Med Case Rep,2022,2022/7/25,PMC9304875,,10.1016/j.rmcr.2022.101709
